station_id,project,date,sampling_bout,gear,sample_grp,station,location,replicate,primers,category,Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Brd_striped_anchovy,Little_tunny_or_skipjack_tuna,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Str_sea_robin,Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Atl_chub_mackerel,Frigate_or_bullet_tuna,Giant_trevally99,Hogchoker_trinectes,Nor_kingfish,Red_White_or_Spotted_hake,Spanish_mackerel,Tautog,Thread_herring,Atl_menhaden_LS16_or_river_herrings,Atl_menhaden_LS17,Cobia,Cunner,Am_conger,Atl_or_nor_sand_lance,Bluefish,Silver_anchovy,Seaboard_goby,Nor_puffer,Silver_perch(nibea93),Sturgeon,Crested_blenny_refseq_not_full_length,Str_burrfish,Dwarf_goatfish,Fourspot_flounder,Nor_sennet95,Tuna_sp,Atl_moonfish,Atl_silverside,Gulf_stream_flounder,Str_cusk_eel,Nor_stargazer,Grey_triggerfish,Nor_pipefish,Planehead_filefish,Rough_scad,Str_killifish,Mummichog,Rough_silverside94,Sheepshead_minnow,Str_bass,White_mullet,Am_eel,Red_eye_round_herring,Inshore_lizardfish,Atl_mackerel,Flathead_grey_mullet,Silver_hake,Winter_or_Yellowtail_flounder,Atl_herring,Atl_cod,Am_gizzard_shad,Fourspine_stickleback,Catfish_sp,White_perch,Whitefish_Cor,Pac_sand_lance,White_catfish,Atl_salmon
NJOT_Aug_23_100,NJOT,8/1/23,Aug_23,edna,Trawl,100,B,1,bony,1,0.020177178,0.009887821,0.019700354,0.085627525,0.00720255,0.007127262,0.752151981,0.017692674,0.000451728,0.004567471,0.014204332,0.011368484,0.00707707,0.023163601,0.01959997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJOT_Aug_23_101,NJOT,8/1/23,Aug_23,edna,Trawl,101,B,1,bony,1,0.044936571,0.020750904,0.012989477,0.029527578,0.013369009,0.001347338,0.667795774,0.041293065,0.008776674,0.004535406,0,0.026766484,0.003178579,0.015342575,0.058514323,0.002343609,0.003216532,0.003880713,0.003415787,0.006395112,0.00423178,0.012135531,0.009611644,0.003643506,0.00200203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJOT_Aug_23_102,NJOT,8/1/23,Aug_23,edna,Trawl,102,B,1,bony,1,0.060568018,0.015208891,0.063109693,0.037991356,0.021856349,0,0.550185223,0.012574604,0,0,0,0.026517802,0,0.00675036,0.040461,0.003251698,0,0,0,0,0.003447211,0.009713933,0.002088907,0.004867257,0.020343692,0.06739041,0.046346985,0.003035604,0.004291006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJOT_Aug_23_103,NJOT,8/1/23,Aug_23,edna,Trawl,103,B,1,bony,1,0.027214715,0.011980731,0.037412412,0.066973223,0,0,0.656844344,0.013795045,0.008696196,0,0,0.050237738,0.004066567,0,0.028059309,0.003534785,0,0,0.007476226,0,0,0,0.016297548,0.003128128,0.00294044,0.014358108,0.027934184,0,0,0.004316817,0.006725475,0.005755756,0.002252252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJOT_Aug_23_104,NJOT,8/1/23,Aug_23,edna,Trawl,104,B,1,bony,1,0.009456996,0.000232006,0.034204276,0.12162625,0.002187483,0,0.54668287,0.005059935,0.007921339,0,0.008451638,0.019455339,0,0.003292272,0.04214771,0.005170414,0.000740209,0,0,0.003237033,0,0.005037839,0,0,0.004275534,0.069557532,0.106910457,0,0.000983262,0.000751257,0,0,0,0.002618351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJOT_Aug_23_106,NJOT,8/1/23,Aug_23,edna,Trawl,106,B,1,bony,1,0.149847839,0.00051126,0.133609251,0.017163725,0.003700548,0,0.09185636,0.058186245,0.010273889,0,0.0017042,0.020097383,0.004637858,0.000998174,0.072391966,0.010018259,0,0.000365186,0.000669507,0,0.00110773,0.352854534,0,0.00068168,0,0.01846622,0.022422398,0,0,0,0.000365186,0.017054169,0,0.006816799,0.002617164,0.000316494,0.001265977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJOT_Aug_23_107,NJOT,8/1/23,Aug_23,edna,Trawl,107,B,1,bony,1,0.133345943,0,0.173056554,0.044637791,0.008104785,0,0.193862304,0.051201059,0.022177038,0,0.013504823,0.076423302,0,0.002837148,0.072905239,0.016502743,0,0,0,0,0,0.045243049,0,0.040542841,0,0.017202572,0.036268205,0,0,0.003035748,0,0.005910724,0,0.005050123,0,0,0,0.002014375,0.036173633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJOT_Aug_23_108,NJOT,8/1/23,Aug_23,edna,Trawl,108,B,1,bony,1,0.098431177,0.004587203,0.218483369,0.044057534,0.007421075,0,0.110622942,0.094058043,0.005382318,0.000326201,0.012161184,0.068593971,0.013720833,0.003588212,0.041468313,0.037564093,0,0,0,0.000846084,0.005596387,0.017023619,0.000693177,0.003873638,0,0.08138717,0.113854372,0,0,0,0,0.013680058,0,0,0.000825696,0,0,0,0.000581046,0.001172285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJOT_Aug_23_109,NJOT,8/1/23,Aug_23,edna,Trawl,109,B,1,bony,1,0.078551694,0.006737835,0.250108068,0.025833067,0.019001259,0,0.135912568,0.070112955,0.004162986,0.011868739,0.003476986,0.029648355,0.001982822,0.006155205,0.036348601,0.027336629,0,0,0,0,0.002903753,0.004181781,0,0.001888849,0.002574849,0.123893473,0.142772568,0.000836356,0,0,0,0.007480219,0,0,0.003871671,0,0,0,0,0,0.000620219,0.001080685,0.000657808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJOT_Aug_23_71,NJOT,8/1/23,Aug_23,edna,Trawl,71,B,1,bony,1,0.033181027,0.015158109,0.034885408,0.033978822,0.006599942,0,0.076044386,0.015665796,0.00435161,0.004677981,0.00308239,0.006418625,0,0.008123006,0.005910937,0.101138671,0,0,0,0,0.004025239,0.005185669,0,0.006708732,0.027814041,0.259102118,0.328038874,0,0,0.000398898,0.000870322,0.009210908,0,0.001341746,0,0,0,0,0,0,0.001015376,0,0,0.001124166,0.000834059,0.005113142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
