"","press","depth","tempc","cond","spcond","salinity","vel","rho","station","date","site"
"6",1.65,1.64676082756766,14.9282447601536,37514.4997611849,46977.39656042,30.1781727172857,1500.86256416019,1022.28117725803,39,"2023-11-03 06:59:07","3"
"7",1.95,1.94615977244885,14.912675329407,37551.0106179734,47041.4602730306,30.2227635878963,1500.86933144153,1022.32010489623,39,"2023-11-03 06:59:07","3"
"8",2.25,2.24555060326079,14.9101258596208,37570.7024514947,47069.1355166923,30.2422508165605,1500.88875030657,1022.33697813011,39,"2023-11-03 06:59:07","3"
"9",2.55,2.544939972264,14.9134372345596,37563.311246357,47055.9714333901,30.2329652273895,1500.89355706537,1022.33047704175,39,"2023-11-03 06:59:07","3"
"10",2.85,2.84433034787785,14.9249723729318,37575.0089208473,47057.025575204,30.2343947067449,1500.93723136024,1022.33049251676,39,"2023-11-03 06:59:07","3"
"11",3.15,3.14372097230912,14.9318914380468,37579.3562781417,47054.3153915523,30.2328209526462,1500.96258290598,1022.32916674394,39,"2023-11-03 06:59:07","3"
"12",3.45,3.44311174644433,14.9380269213743,37585.7190600602,47055.0524867627,30.2336561693656,1500.9882142823,1022.32985910257,39,"2023-11-03 06:59:07","3"
"13",3.75,3.74250271133228,14.9480850608365,37593.3369226676,47052.7396562528,30.2325781611412,1501.0242109562,1022.32825299371,39,"2023-11-03 06:59:07","3"
"14",4.05,4.0418947817051,14.9546670352913,37591.1436744077,47042.243702349,30.2254184499232,1501.04197830271,1022.32269833972,39,"2023-11-03 06:59:07","3"
"15",4.35,4.34128738209966,14.9668609224224,37606.9796190234,47047.7024603213,30.2300349620972,1501.09143015197,1022.32502226288,39,"2023-11-03 06:59:07","3"
"16",4.65,4.64068081987232,14.9813784253149,37611.0309647587,47035.6856692872,30.2223228734659,1501.13400029833,1022.31736863595,39,"2023-11-03 06:59:07","3"
"17",4.95,4.94007502516194,14.9948869378052,37629.1118705616,47042.4031065239,30.2279245528966,1501.18878368823,1022.32016963512,39,"2023-11-03 06:59:07","3"
"18",5.25,5.23946840256221,15.0140372162164,37654.4610799075,47051.5645252703,30.2356505455018,1501.26409708062,1022.32341147186,39,"2023-11-03 06:59:07","3"
"19",5.55,5.53886125815777,15.0417643412383,37686.2087808483,47058.6266625069,30.2424491330192,1501.36576662417,1022.32412215134,39,"2023-11-03 06:59:07","3"
"20",5.85,5.83825131964502,15.1049866409642,37786.0497783635,47108.9170489436,30.2825038071928,1501.61947821422,1022.34288260413,39,"2023-11-03 06:59:07","3"
"21",6.15,6.13763345098134,15.1913316404497,37938.2801889729,47197.0928064383,30.3511642539333,1501.97973960267,1022.3786714526,39,"2023-11-03 06:59:07","3"
"22",6.45,6.43698884833877,15.2676012788404,38242.0572005962,47484.8960281767,30.562041827186,1502.47204537853,1022.52588553522,39,"2023-11-03 06:59:07","3"
"23",6.75,6.73630253436405,15.3104103645454,38493.3111050839,47746.1166445235,30.7518921265419,1502.83304718771,1022.66402984415,39,"2023-11-03 06:59:07","3"
"24",7.05,7.03559440306106,15.4391322242712,38662.1910014618,47802.9434299496,30.8009765054807,1503.30281681449,1022.67535238678,39,"2023-11-03 06:59:07","3"
"25",7.35,7.33488261101421,15.5630712510166,38830.0410156098,47863.783261526,30.8525327586161,1503.75888679768,1022.68943652404,39,"2023-11-03 06:59:07","3"
"26",7.65,7.63417018752191,15.6378594951489,38904.5588112879,47867.3819125883,30.8597925108216,1504.00783361391,1022.68005679726,39,"2023-11-03 06:59:07","3"
"27",7.95,7.933462589796,15.688963500216,38930.1805084905,47838.7468733184,30.8423766644397,1504.15340096854,1022.65684648905,39,"2023-11-03 06:59:07","3"
"28",8.25,8.23275994093467,15.7236642837539,38955.1679687499,47828.6625895431,30.837219958847,1504.26142914449,1022.64662616267,39,"2023-11-03 06:59:07","3"
"29",8.55,8.53206091069302,15.7465855701251,38960.1626477852,47807.8863574158,30.8236404958834,1504.32267573802,1022.63250742453,39,"2023-11-03 06:59:07","3"
