"","press","depth","tempc","cond","spcond","salinity","vel","rho","station","date","site"
"6",1.65,1.64879256035076,5.12207872441086,26210.7473068893,43507.5340362353,26.6330015167089,1460.62083518259,1021.04567589295,47,"2024-02-08 08:20:17","4"
"7",1.95,1.94856874030604,5.12909286152467,26227.1195337712,43524.5754897316,26.6455661214121,1460.67073777601,1021.05634328137,47,"2024-02-08 08:20:17","4"
"8",2.25,2.24834119297497,5.1441965239804,26255.1972506888,43549.3399696393,26.6647399987024,1460.76256373835,1021.07145531236,47,"2024-02-08 08:20:17","4"
"9",2.55,2.54810856016299,5.16349093167319,26292.2023928486,43582.8241041565,26.6905153496992,1460.88009866024,1021.09137599523,47,"2024-02-08 08:20:17","4"
"10",2.85,2.84786834428079,5.20251773405417,26359.4035935243,43637.7586558013,26.7341709944459,1461.10196254134,1021.12350493619,47,"2024-02-08 08:20:17","4"
"11",3.15,3.14761758942484,5.2799292390082,26467.5975817602,43704.8537545181,26.7926696381289,1461.50110648427,1021.16356749452,47,"2024-02-08 08:20:17","4"
"12",3.45,3.44733982208865,5.33658052265199,26677.5889937743,43969.3408653201,26.9807443273992,1461.97790727726,1021.30796374809,47,"2024-02-08 08:20:17","4"
"13",3.75,3.74702782294869,5.36979011886319,26805.5823900038,44131.9849183851,27.0961867619581,1462.26574004236,1021.3972502339,47,"2024-02-08 08:20:17","4"
"14",4.05,4.04668945114693,5.4328051707325,26960.749364755,44295.5376829399,27.2175038892533,1462.68339548261,1021.48812686224,47,"2024-02-08 08:20:17","4"
"15",4.35,4.34631463973253,5.5063377824982,27201.8729815373,44583.9700187535,27.4252622650911,1463.25288264667,1021.64609687949,47,"2024-02-08 08:20:17","4"
"16",4.65,4.64590693591746,5.58123518013518,27340.6315093773,44701.646856856,27.5178077471076,1463.68155247123,1021.71282197817,47,"2024-02-08 08:20:17","4"
"17",4.95,4.94545197071524,5.63812795649956,27680.9733355516,45174.0611809792,27.8479714900836,1464.33594700422,1021.96891056456,47,"2024-02-08 08:20:17","4"
"18",5.25,5.24492741703088,5.67571601684804,27962.805141801,45578.0806003729,28.1289038430011,1464.84884105224,1022.18808755956,47,"2024-02-08 08:20:17","4"
"19",5.55,5.54437024655104,5.69535378129966,27982.9165344787,45581.6810808783,28.1346660346278,1464.94102104817,1022.19193536746,47,"2024-02-08 08:20:17","4"
"20",5.85,5.84381413463219,5.71434007100702,27985.8386545597,45558.2613688924,28.1219328680992,1465.00716833639,1022.18124947934,47,"2024-02-08 08:20:17","4"
"21",6.15,6.1432615606229,5.7253825264246,27979.055473527,45530.8496964429,28.1050900462378,1465.03576124635,1022.16817050173,47,"2024-02-08 08:20:17","4"
"22",6.45,6.44270317882382,5.74537253577838,28055.9296966497,45626.2640239617,28.1733490057807,1465.20812236852,1022.22129063137,47,"2024-02-08 08:20:17","4"
"23",6.75,6.74208710906386,5.77772764397177,28473.6610214929,46256.9253826474,28.6084276357421,1465.89337101738,1022.5625458031,47,"2024-02-08 08:20:17","4"
"24",7.05,7.04140916250343,5.8157336377503,28599.6752244727,46404.3393557847,28.7155723540822,1466.18761359339,1022.64432976953,47,"2024-02-08 08:20:17","4"
"25",7.35,7.34071832534549,5.84045527749677,28627.9603191814,46412.9988704645,28.7257268883752,1466.30552216739,1022.65101420625,47,"2024-02-08 08:20:17","4"
"26",7.65,7.6400258327408,5.85688355693913,28646.9329159105,46419.0313695311,28.7326157776352,1466.38565623037,1022.65603122422,47,"2024-02-08 08:20:17","4"
"27",7.95,7.93932793262876,5.86408780733032,28688.9517412523,46476.2670459332,28.7728242702369,1466.47040923185,1022.68835646098,47,"2024-02-08 08:20:17","4"
"28",8.25,8.23860801940549,5.88629031595407,28843.2434904649,46692.631577652,28.9243858336717,1466.75621012594,1022.80686895241,47,"2024-02-08 08:20:17","4"
"29",8.55,8.53785855796215,5.91980756459571,28968.1368245328,46843.9798081123,29.0336422409349,1467.03431402627,1022.89071581373,47,"2024-02-08 08:20:17","4"
"30",8.85,8.83708951171493,5.93626359747814,29039.389170461,46934.2218380054,29.0981420563532,1467.18695551479,1022.94114775085,47,"2024-02-08 08:20:17","4"
"31",9.15,9.13630600276298,5.94792398641736,29104.5055802729,47021.741414782,29.1599515908094,1467.31680169858,1022.98999072184,47,"2024-02-08 08:20:17","4"
"32",9.45,9.43550746215847,5.95518965325346,29171.9403810046,47119.6279327892,29.228095352847,1467.43686787485,1023.04432325643,47,"2024-02-08 08:20:17","4"
"33",9.75,9.73469250490304,5.95714067262605,29239.1105290187,47225.1472418341,29.3005394140271,1467.5408999512,1023.10264860052,47,"2024-02-08 08:20:17","4"
"34",10.05,10.0338644559733,5.95773582593668,29274.3993200937,47281.2344621911,29.3389137151572,1467.59653885548,1023.13425012677,47,"2024-02-08 08:20:17","4"
"35",10.35,10.3330277333344,5.96161759795751,29308.6936724507,47330.68868208,29.3733415135154,1467.66046143352,1023.16236480029,47,"2024-02-08 08:20:17","4"
"36",10.65,10.6321603126296,5.96767213045526,29521.6043643743,47665.1978230892,29.6035084732389,1467.97976001122,1023.34465368271,47,"2024-02-08 08:20:17","4"
"37",10.95,10.9312572325853,5.9818133395718,29604.2538342952,47776.8255683132,29.6824789418731,1468.14111756801,1023.40673131532,47,"2024-02-08 08:20:17","4"
"38",11.25,11.2303497354026,6.00589959210763,29588.9652274324,47715.0568386735,29.6443347649746,1468.19493506252,1023.37526905421,47,"2024-02-08 08:20:17","4"
"39",11.55,11.5294437714903,6.01962958652338,29624.6506548857,47751.4577861952,29.671645644207,1468.2894818887,1023.39662783788,47,"2024-02-08 08:20:17","4"
"40",11.85,11.8285306482816,6.02981573854294,29664.7232596294,47800.3535528284,29.7068944697271,1468.37974515422,1023.42465257151,47,"2024-02-08 08:20:17","4"
"41",12.15,12.1276039217983,6.04464689178282,29752.0526939157,47918.1689481396,29.7902950701816,1468.5493011339,1023.49011816971,47,"2024-02-08 08:20:17","4"
"42",12.45,12.4266667322125,6.06331599637766,29775.3964364238,47926.9445024735,29.7995572010074,1468.64088388592,1023.49665394727,47,"2024-02-08 08:20:17","4"
"43",12.75,12.7257262786012,6.08247730118737,29810.301313435,47953.547950144,29.8211460874229,1468.74992251452,1023.51284913867,47,"2024-02-08 08:20:17","4"
"44",13.05,13.0247795615632,6.10201133252468,29858.0657632826,48000.2168413764,29.8565846323424,1468.87784349744,1023.53991658246,47,"2024-02-08 08:20:17","4"
"45",13.35,13.3238246443055,6.12044514805764,29907.5872437097,48051.3487217525,29.894898042708,1469.00491682443,1023.56937164469,47,"2024-02-08 08:20:17","4"
"46",13.65,13.6228571734826,6.13568808475626,29985.6713325418,48153.2177013657,29.9675175707957,1469.16231749371,1023.62624616143,47,"2024-02-08 08:20:17","4"
"47",13.95,13.9218753694518,6.1533160300333,30048.5315242523,48226.8588924595,30.0211895357254,1469.30538944551,1023.66789125033,47,"2024-02-08 08:20:17","4"
"48",14.25,14.2208789983237,6.17499178926202,30134.5940097518,48331.3583744574,30.0968372567675,1469.49226246834,1023.7263783089,47,"2024-02-08 08:20:17","4"
"49",14.55,14.5198710534802,6.19200772354729,30173.4201971634,48367.2299400995,30.1244525255071,1469.59999812405,1023.7475322142,47,"2024-02-08 08:20:17","4"
"50",14.85,14.818856104114,6.19864988774015,30209.4710096818,48414.708838976,30.1581871941808,1469.67389857001,1023.77473557372,47,"2024-02-08 08:20:17","4"
"51",15.15,15.1178336754511,6.19694238065534,30234.4519570188,48457.3962218917,30.1871210328163,1469.70835660411,1023.79914306656,47,"2024-02-08 08:20:17","4"
"52",15.45,15.4168006538221,6.19977754730652,30291.4416404886,48544.3231038415,30.2473355050943,1469.80033056593,1023.84767550665,47,"2024-02-08 08:20:17","4"
"53",15.75,15.7157589176003,6.20710124933568,30310.1478968841,48562.9018451838,30.2613171630739,1469.85209811654,1023.85922025776,47,"2024-02-08 08:20:17","4"
"54",16.05,16.0147162284809,6.21497983973498,30310.7861967348,48551.6671039954,30.2548713882847,1469.88038579327,1023.85459187797,47,"2024-02-08 08:20:17","4"
"55",16.35,16.3136746959925,6.21885863791772,30309.6308126185,48543.7843262551,30.2500086731516,1469.89467219774,1023.85168744248,47,"2024-02-08 08:20:17","4"
"56",16.65,16.6126336739692,6.22384856883764,30312.6315308608,48540.8316403279,30.2487411489246,1469.91791976957,1023.85148499969,47,"2024-02-08 08:20:17","4"
"57",16.95,16.9115940697757,6.22390838875169,30300.7211267558,48521.6660731549,30.2354187813583,1469.90630231609,1023.84236569945,47,"2024-02-08 08:20:17","4"
"58",17.25,17.2105568138297,6.22293210659482,30290.7594400157,48507.2307376568,30.2251667911699,1469.89440462667,1023.83579056297,47,"2024-02-08 08:20:17","4"
"59",17.55,17.509519749835,6.22451864830155,30297.2796032445,48515.20682272,30.2308081781085,1469.91273721833,1023.84144049821,47,"2024-02-08 08:20:17","4"
"60",17.85,17.8084826975814,6.22719380367233,30292.1819465361,48502.8884391363,30.2226734171059,1469.91809667903,1023.83609967688,47,"2024-02-08 08:20:17","4"
"61",18.15,18.1074442824026,6.22522293812389,30306.1791648881,48528.363152031,30.23972027581,1469.9365533272,1023.85116523729,47,"2024-02-08 08:20:17","4"
"62",18.45,18.4064026683747,6.21756010537351,30305.7928657306,48539.6564680819,30.245973495695,1469.91868511837,1023.8583994026,47,"2024-02-08 08:20:17","4"
"63",18.75,18.7053596634933,6.21005495893836,30300.3193412224,48542.5600516999,30.2464773088914,1469.89421145939,1023.86108144893,47,"2024-02-08 08:20:17","4"
"64",19.0884382349914,19.0426208369183,6.21724092669531,30305.7541411115,48540.0907342769,30.2459235091109,1469.92776774279,1023.86135869141,47,"2024-02-08 08:20:17","4"
"65",1.65,1.64910134139234,5.20263673144549,26066.3544687691,43152.448411284,26.4080409565256,1460.66978722421,1020.86011199703,14,"2024-02-08 08:53:33","1"
"71",1.95,1.94893496661214,5.20377728275983,26063.6528349329,43146.3465495256,26.4040068235572,1460.67427133734,1020.85822177055,14,"2024-02-08 08:53:33","1"
"81",2.25,2.24876866440351,5.20506968867553,26065.2515802187,43147.1469009573,26.4046410139652,1460.68529866782,1020.86000625329,14,"2024-02-08 08:53:33","1"
"91",2.55,2.54860248602254,5.20735394962557,26063.0891563077,43140.3048406211,26.400304794863,1460.69413943471,1020.85776699975,14,"2024-02-08 08:53:33","1"
"101",2.85,2.84843555144195,5.21520162582931,26076.8681873296,43151.90166568,26.409322528102,1460.74294691937,1020.86554405212,14,"2024-02-08 08:53:33","1"
"111",3.15,3.14826702790393,5.22752464181026,26089.378172354,43155.0027359296,26.4133904260626,1460.80401354268,1020.86897550029,14,"2024-02-08 08:53:33","1"
"121",3.45,3.44809518678669,5.23855412276556,26119.167869803,43188.5198011812,26.4376992992455,1460.88534237277,1020.88852428162,14,"2024-02-08 08:53:33","1"
"131",3.75,3.74791775424233,5.24924283103277,26147.9731984686,43220.8722455085,26.4611701224894,1460.96418161454,1020.90744083402,14,"2024-02-08 08:53:33","1"
"141",4.05,4.04773614123075,5.26406154204529,26169.9729908788,43236.0556670844,26.4737942706729,1461.04635739955,1020.91738198505,14,"2024-02-08 08:53:33","1"
"151",4.35,4.34754895025208,5.26944967352081,26205.2806429266,43286.6816634769,26.5086662096236,1461.11766997216,1020.94581737378,14,"2024-02-08 08:53:33","1"
"161",4.65,4.64735212419738,5.27500203065039,26251.1314057998,43354.4667961099,26.5551272201323,1461.20432851317,1020.9833920411,14,"2024-02-08 08:53:33","1"
"171",4.95,4.94714438146876,5.28539523484627,26300.5237124179,43421.13336886,26.6016767626311,1461.31110309069,1021.02056078769,14,"2024-02-08 08:53:33","1"
"181",5.25,5.24693132683043,5.30408656309493,26313.7950120904,43416.24842792,26.6014596001766,1461.39294342181,1021.01996195855,14,"2024-02-08 08:53:33","1"
"191",5.55,5.54671889875813,5.33436826969869,26333.6015983956,43405.5546571255,26.5992992659948,1461.52014982018,1021.01668135134,14,"2024-02-08 08:53:33","1"
"201",5.85,5.84649680737615,5.36039234658216,26432.9067568871,43531.892564397,26.688754756773,1461.74560810867,1021.08617756237,14,"2024-02-08 08:53:33","1"
"211",6.15,6.14624476296358,5.38310386916972,26604.2121225547,43781.261185679,26.8606974009349,1462.0616424102,1021.22113818263,14,"2024-02-08 08:53:33","1"
"221",6.45,6.44596492214416,5.41900737164607,26695.288611782,43879.2894942801,26.9328902299316,1462.30569379218,1021.27596448726,14,"2024-02-08 08:53:33","1"
"231",6.75,6.74565495739006,5.49437983628886,26929.4748896308,44154.8164517586,27.1318337763616,1462.87195716592,1021.42684186081,14,"2024-02-08 08:53:33","1"
"241",7.05,7.04530994845075,5.51706915149383,27048.1894302933,44316.4926750006,27.2449430674596,1463.11290419532,1021.51523649724,14,"2024-02-08 08:53:33","1"
"251",7.35,7.34494390580363,5.52928778421107,27120.3845245819,44416.9951101968,27.3149224829465,1463.25632428778,1021.57063855956,14,"2024-02-08 08:53:33","1"
"261",7.65,7.64456694638584,5.52785137203158,27139.8689971458,44450.9976585026,27.3375599041049,1463.28391538887,1021.5900636836,14,"2024-02-08 08:53:33","1"
"271",7.95,7.94417894286771,5.54342059693896,27215.9514801599,44552.887247487,27.4090957396098,1463.44300337068,1021.646342226,14,"2024-02-08 08:53:33","1"
"281",8.25,8.24378122107449,5.55118480212455,27232.9598833939,44569.4005973545,27.4214904856477,1463.49535486356,1021.65672784382,14,"2024-02-08 08:53:33","1"
"291",8.55,8.54337533586619,5.55664839045535,27288.3446337617,44652.0578518118,27.4782888376014,1463.59437254848,1021.70240832762,14,"2024-02-08 08:53:33","1"
"301",8.85,8.84295654180906,5.56823746106915,27345.6419824273,44728.8497042951,27.5321918409538,1463.71480488251,1021.74516405354,14,"2024-02-08 08:53:33","1"
"311",9.15,9.14252565546953,5.57329520804449,27394.3401790658,44801.0919213212,27.5818967757405,1463.80317802258,1021.78528191163,14,"2024-02-08 08:53:33","1"
