"","longitude","latitude","station","project"
"1",-74.24223026,39.12230094,"rmi_ 1","rmi"
"2",-74.2868042,39.06611426,"rmi_ 2","rmi"
"3",-74.20440674,39.18330425,"rmi_ 3","rmi"
"4",-74.2868042,39.14071227,"rmi_ 4","rmi"
"5",-74.20715332,39.10448881,"rmi_ 5","rmi"
"6",-74.09254511,39.27298755,"rmi_ 6","rmi"
"7",-74.05059814,39.32579942,"rmi_ 7","rmi"
"8",-74.13024902,39.21523131,"rmi_ 8","rmi"
"9",-74.13024902,39.33004855,"rmi_ 9","rmi"
"10",-74.05334473,39.21735926,"rmi_ 10","rmi"
"11",-74.44061279,39.21735926,"rmi_ 11","rmi"
"12",-74.51751709,39.25565142,"rmi_ 12","rmi"
"13",-74.20440674,39.34916647,"rmi_ 13","rmi"
"14",-74.2868042,39.40436662,"rmi_ 14","rmi"
"15",-74.13024902,39.55064762,"rmi_ 15","rmi"
"16",-74.00408437,39.47223048,"rmi_ 16","rmi"
"17",-74.3637085,39.02985247,"rmi_ 17","rmi"
"18",-74.43511963,38.99143734,"rmi_ 18","rmi"
"19",-74.54636,38.90813,"rmi_ 19","rmi"
"20",-74.12750244,39.06824673,"rmi_ 20","rmi"
"21",-73.97253153,38.99105373,"rmi_ 21","rmi"
"22",-73.97369385,39.21523131,"rmi_ 22","rmi"
"23",-73.81988525,39.14497263,"rmi_ 23","rmi"
"24",-73.89678955,39.36403234,"rmi_ 24","rmi"
"25",-73.73954034,39.28829983,"rmi_ 25","rmi"
"26",-73.89129639,39.47648555,"rmi_ 26","rmi"
"27",-73.74023438,39.47224533,"rmi_ 27","rmi"
"28",-73.97253153,39.73416898,"rmi_ 28","rmi"
"29",-73.89678955,39.66068502,"rmi_ 29","rmi"
"30",-73.74023438,39.66279941,"rmi_ 30","rmi"
"31",-73.97369385,39.58240712,"rmi_ 31","rmi"
"32",-74.05334473,39.40224434,"rmi_ 32","rmi"
"33",-73.8948678,39.84563627,"rmi_ 33","rmi"
"34",-73.73954034,39.84563627,"rmi_ 34","rmi"
"35",-74.2098999,38.95300135,"rmi_ 35","rmi"
"36",-74.05019525,38.87958644,"rmi_ 36","rmi"
"37",-74.51477051,39.10448881,"rmi_ 37","rmi"
"38",-74.6685791,39.10235744,"rmi_ 38","rmi"
"39",-74.05019525,39.84563627,"rmi_ 39","rmi"
"40",-74.36096191,38.8846192,"rmi_ 40","rmi"
