Latent Variable 1,Latent Variable 2,Date
1.9949957,-0.39739877,8/1/23
-0.37625355,-0.94477856,8/1/23
0.76947844,0.59343266,8/1/23
-0.46218506,0.7044341,8/1/23
-0.11560334,-0.58827657,8/1/23
1.20412,-0.66456443,8/1/23
-0.61139786,-0.44966733,8/1/23
-1.2342129,-1.9279158,8/1/23
-0.36001146,1.1401967,8/1/23
0.97349244,1.0380323,8/1/23
0.29449463,-1.1640372,8/1/23
-0.3178377,0.5508232,8/1/23
0.41824394,0.7987484,8/1/23
-0.9491307,0.35709107,8/1/23
-0.38028926,0.027364574,8/1/23
0.32253402,0.39890483,8/1/23
1.6351202,0.10638932,8/1/23
0.4961469,0.8844328,8/1/23
-0.6399909,-0.73081523,8/1/23
-0.16027698,-0.10844792,8/1/23
1.3286136,1.0069107,8/1/23
-1.0439386,-0.49977437,8/1/23
-0.8505709,-0.29448855,8/1/23
0.23492526,-0.04463464,8/1/23
-2.150079,0.7311773,8/1/23
-0.45832306,-0.8487256,8/1/23
0.6864263,0.32589087,8/1/23
-1.6013949,0.7344277,8/1/23
0.5100279,0.64725596,8/1/23
0.20116511,0.17178267,8/1/23
0.6507018,-0.32538006,2/1/24
0.40699708,0.16081557,2/1/24
1.116085,-0.6718968,2/1/24
-0.13418134,0.4507833,2/1/24
1.0835832,0.052185033,2/1/24
0.24766575,-0.36742342,2/1/24
-1.030339,0.047098137,2/1/24
0.061124284,-0.9464589,2/1/24
2.8520577,0.4594654,2/1/24
-0.4246779,0.8313313,2/1/24
-0.2863077,1.3419753,2/1/24
2.2196915,0.8976292,2/1/24
-1.0114516,0.6553303,2/1/24
-0.7212958,0.8519919,2/1/24
-0.7325648,-2.0957341,2/1/24
-1.2464911,1.0126517,2/1/24
-0.47366938,0.17736042,2/1/24
-1.8393289,1.3555597,2/1/24
1.5509449,-1.53604,2/1/24
-1.2198832,-0.24561813,2/1/24
-0.41872776,1.0898058,2/1/24
1.0275329,0.9608596,2/1/24
0.97209346,1.0843049,2/1/24
-1.0907598,-0.22998098,2/1/24
-0.96581686,1.5945909,2/1/24
-0.25795156,-0.23158926,2/1/24
0.23461518,1.0497462,2/1/24
1.607654,-0.31939018,2/1/24
0.97896403,-0.36305994,2/1/24
-0.6471468,0.3008195,6/1/23
0.69554037,-0.44684786,6/1/23
0.84547305,0.17639771,6/1/23
-0.85297155,1.0814503,6/1/23
-0.1691894,0.38005295,6/1/23
-1.3153535,-0.8148746,6/1/23
-1.8734595,-0.54580253,6/1/23
-0.6082469,-2.4622405,6/1/23
0.018561855,-0.50533783,6/1/23
-0.071957044,-0.6677753,6/1/23
-0.3117468,0.09772466,6/1/23
-0.0733943,-0.97124225,6/1/23
-0.25062686,-0.24672823,6/1/23
0.71858066,-0.32908446,6/1/23
0.19146644,0.19448236,6/1/23
-0.324003,0.53681153,6/1/23
-0.5376026,0.07648267,6/1/23
-0.5878076,1.911846,6/1/23
-2.3701491,-0.6740782,6/1/23
0.87129897,0.025430417,6/1/23
0.71540505,1.9911175,6/1/23
1.0088949,0.58735526,6/1/23
0.1764937,-0.9464396,6/1/23
0.5053932,0.21535547,6/1/23
1.9966656,-1.3132455,6/1/23
0.7064009,0.42611754,6/1/23
0.30631715,-1.2594635,6/1/23
-0.25473693,-0.5260135,6/1/23
-0.5664872,-1.5066638,6/1/23
0.14747049,0.55950004,6/1/23
