Latent Variable 1,Latent Variable 2,Date
0.8262415,-0.14005819,2/1/24
0.10545696,-2.3316166,2/1/24
-0.6461185,0.1507864,2/1/24
-0.7419962,0.9186605,2/1/24
-0.15570663,-1.9851006,2/1/24
-0.740492,-1.894362,2/1/24
0.5373917,0.13885711,2/1/24
-0.42787737,-1.1593851,2/1/24
-1.1673719,0.4039532,2/1/24
2.9883401,0.2994438,2/1/24
0.5299982,-0.82482135,2/1/24
-0.48790565,-1.2366498,2/1/24
2.4955335,-1.3516946,2/1/24
1.2647212,-0.057814818,2/1/24
0.09712945,0.9737321,2/1/24
-0.011903548,-0.6973468,2/1/24
1.4184008,-0.81362146,2/1/24
-0.29517388,-0.1844767,2/1/24
-1.4456508,-0.17495196,2/1/24
0.5339254,1.4276212,2/1/24
-0.99145555,0.44946417,2/1/24
-0.91538477,0.5471821,2/1/24
1.0503147,-1.2045805,2/1/24
1.0097634,-0.91583616,2/1/24
1.8770412,-0.5754374,2/1/24
-0.7985956,1.2281127,2/1/24
-0.94105256,-1.1939642,2/1/24
1.9184829,-1.6113435,2/1/24
-1.324318,1.3929079,2/1/24
0.30997267,-0.58970726,6/1/23
-2.0865617,0.54236233,6/1/23
-0.1074351,-0.1991504,6/1/23
1.2280617,-0.35796094,6/1/23
1.2868464,-1.2330241,6/1/23
0.58079857,-0.1899951,6/1/23
-0.15704918,-1.1510986,6/1/23
-0.7000191,1.5624352,6/1/23
0.24671884,0.0070362138,6/1/23
1.5145109,0.17960432,6/1/23
0.685315,-0.63373446,6/1/23
0.8378098,2.1810746,6/1/23
-1.1527498,-0.06443505,6/1/23
-0.7319076,1.2188019,6/1/23
0.2886674,0.3532582,6/1/23
1.1950557,-0.84995365,6/1/23
1.3888317,-0.35584694,6/1/23
-1.3217093,-0.35550857,6/1/23
-0.57020193,-0.2598853,6/1/23
-1.0946797,-0.4138698,6/1/23
-0.006425847,1.2207531,6/1/23
0.44523925,1.589746,6/1/23
-0.80947423,-0.063274205,6/1/23
-0.2572679,0.37292898,6/1/23
0.33824626,-2.0849085,6/1/23
0.13337441,0.59574836,6/1/23
-0.4743451,1.3371233,6/1/23
-0.0681468,-0.17155704,6/1/23
0.6818862,0.36937448,6/1/23
0.035585847,-0.2831126,6/1/23
0.087427534,0.9273105,8/1/23
2.060315,0.33003804,8/1/23
-1.2232723,-0.76596284,8/1/23
0.20647505,0.08732233,8/1/23
0.19466233,-0.9033704,8/1/23
-1.5695814,0.42001602,8/1/23
-2.1829197,0.09533321,8/1/23
2.803241,-0.6672189,8/1/23
0.83761823,0.60204333,8/1/23
-0.65711075,0.15578787,8/1/23
1.5294156,0.9574694,8/1/23
-1.3150764,-0.75496364,8/1/23
1.6963555,-0.25196114,8/1/23
-3.1498363,1.2501575,8/1/23
-0.40727016,-0.041747227,8/1/23
-1.0670496,-0.6070044,8/1/23
-1.1514604,-0.3976685,8/1/23
0.30742335,0.3525066,8/1/23
-1.3234042,-0.35303658,8/1/23
0.11002099,0.4974906,8/1/23
-0.18924652,1.8221658,8/1/23
1.1038084,0.0377672,8/1/23
-0.9194068,0.90005547,8/1/23
-0.26938644,-0.8873846,8/1/23
-1.8860697,-0.22380552,8/1/23
-2.331263,-0.06851941,8/1/23
-0.5018031,0.016453536,8/1/23
-0.056257986,-0.64957577,8/1/23
0.1449147,0.38824955,8/1/23
1.0847571,0.9178331,8/1/23
