tSNE1,tSNE2,date
11.889037,3.7591302,2/1/24
10.678095,3.7363183,2/1/24
8.843657,0.6248242,2/1/24
11.541861,2.4369938,2/1/24
5.42103,1.2684102,2/1/24
8.380212,-0.8023164,2/1/24
7.2917705,1.3246773,2/1/24
9.130616,-0.6180229,2/1/24
10.521229,2.6563098,2/1/24
9.34924,0.62113327,2/1/24
7.686122,2.9167886,2/1/24
11.283018,-0.6010526,2/1/24
12.110255,0.05558558,2/1/24
11.230337,-0.13755445,2/1/24
10.26133,-0.5914142,2/1/24
6.4651175,0.51036227,2/1/24
10.683988,1.2689621,2/1/24
8.164085,0.31693643,2/1/24
9.003771,0.112142056,2/1/24
7.1929064,-1.2996136,2/1/24
7.777549,1.0822558,2/1/24
7.596384,-0.13041013,2/1/24
11.580166,1.3923559,2/1/24
8.379224,2.621605,2/1/24
10.417461,2.5479417,2/1/24
12.224889,2.3097086,2/1/24
8.253936,1.6808169,2/1/24
9.216807,-2.01231,2/1/24
9.230587,1.797125,2/1/24
2.262024,-2.7643342,6/1/23
-3.513617,-2.9429023,6/1/23
-4.7288985,-7.7496424,6/1/23
5.6343546,1.7320172,6/1/23
-4.633809,-5.8874574,6/1/23
-4.4524093,-1.4461269,6/1/23
-3.3551927,-2.6780503,6/1/23
-2.8384106,-1.8620027,6/1/23
-3.0128045,-1.3353716,6/1/23
-1.7991525,-2.2144535,6/1/23
-4.143823,-4.0518494,6/1/23
-5.0363684,-3.360378,6/1/23
-3.4368892,-7.246912,6/1/23
-3.9046555,-6.925354,6/1/23
-4.71849,-6.969086,6/1/23
-2.6265543,-2.903852,6/1/23
-3.0458457,-4.069019,6/1/23
-1.2674973,-4.1598935,6/1/23
-3.0895035,-5.1534324,6/1/23
-3.835846,-5.3207192,6/1/23
-1.401607,-4.1934586,6/1/23
-1.2954918,-5.8732595,6/1/23
-5.4710455,-4.8979464,6/1/23
-2.2448683,-6.0825295,6/1/23
-5.134305,-4.140622,6/1/23
-6.681306,-5.042832,6/1/23
-6.066798,-4.289244,6/1/23
-7.0836806,-5.9571424,6/1/23
-5.3628564,-5.6112356,6/1/23
-5.8206983,-6.278982,6/1/23
-0.5897171,-5.0871387,8/1/23
-5.241553,0.32299066,8/1/23
-6.300266,1.869793,8/1/23
-3.6970613,1.3318737,8/1/23
-0.35912907,0.37617365,8/1/23
-4.3315268,1.2789378,8/1/23
-3.2223392,1.9822264,8/1/23
-7.2910924,-0.057116956,8/1/23
-6.416727,0.30725738,8/1/23
-4.064603,3.1719434,8/1/23
-2.8169162,0.4176324,8/1/23
-2.0954678,1.7911037,8/1/23
-3.2563834,2.9008574,8/1/23
-6.130264,3.1108577,8/1/23
-0.48083264,4.474839,8/1/23
-3.963706,-0.25175682,8/1/23
-0.16110343,-1.761495,8/1/23
-2.0240498,-0.7012791,8/1/23
-3.010289,1.0652915,8/1/23
-4.6281962,2.4189987,8/1/23
-1.8310277,3.8544967,8/1/23
-1.4860303,4.1078024,8/1/23
-3.0314167,4.4420967,8/1/23
-0.58840317,1.9165317,8/1/23
-4.623616,4.855446,8/1/23
0.30139577,1.1052983,8/1/23
-5.904928,-2.4282842,8/1/23
0.54754966,0.90778214,8/1/23
-5.561245,1.3572596,8/1/23
-6.353029,1.9633483,8/1/23
