Latent Variable 1,Latent Variable 2,Date
0.92007375,0.700273,2/1/24
0.13874194,-1.5006123,2/1/24
-0.5192145,-1.3524065,2/1/24
-1.295122,1.2976391,2/1/24
-0.45645717,-1.87442,2/1/24
-1.3497521,-0.1827393,2/1/24
-1.1629968,2.1689396,2/1/24
1.8085432,-0.81699604,2/1/24
-1.2135296,-0.36206445,2/1/24
0.27377546,-0.6399273,2/1/24
-0.053090177,-0.84836054,2/1/24
-0.5134803,0.9150783,2/1/24
0.059311934,0.034906656,2/1/24
-0.5500017,2.298595,2/1/24
1.0061724,-0.6756707,2/1/24
0.25555688,-0.10358444,2/1/24
0.6837151,1.0749905,2/1/24
-0.2794336,-0.8911688,2/1/24
0.5300963,-0.98287684,2/1/24
0.40225327,2.460771,2/1/24
0.23977165,0.83080393,2/1/24
-0.28449866,-2.6471457,2/1/24
0.5282752,-1.0649036,2/1/24
0.8997056,0.9650701,2/1/24
-0.636036,0.44063422,2/1/24
1.0440217,0.028055357,2/1/24
1.8007821,-0.5889222,2/1/24
0.95620143,-1.501861,2/1/24
2.68954,0.56268746,2/1/24
-0.15408082,0.52305543,6/1/23
-1.2035471,-0.10220777,6/1/23
-1.6866086,-0.3705203,6/1/23
0.91732347,1.3490275,6/1/23
-1.0525315,0.593773,6/1/23
0.33896902,0.20779549,6/1/23
0.81235707,2.0302653,6/1/23
0.8067981,0.51213163,6/1/23
0.30278102,0.95932114,6/1/23
-0.64134276,-0.013264254,6/1/23
-0.08051627,0.1742497,6/1/23
1.024805,0.5313225,6/1/23
-0.0981411,-0.52380496,6/1/23
-0.28280684,-0.92936116,6/1/23
1.1934773,-0.74693215,6/1/23
1.0385591,-0.43024594,6/1/23
-0.269064,-1.9599943,6/1/23
0.49607426,0.7298962,6/1/23
1.8387834,-0.7139636,6/1/23
0.3646762,0.63412243,6/1/23
-0.9879297,0.033742502,6/1/23
0.37499744,-0.0003677333,6/1/23
1.0249308,0.83032167,6/1/23
-0.7196107,1.2187877,6/1/23
0.08493722,0.5935149,6/1/23
-0.006995539,0.07012129,6/1/23
0.93901676,-1.0124457,6/1/23
1.1202937,0.33628678,6/1/23
0.12751581,1.5772272,6/1/23
0.19956194,0.32733372,6/1/23
-0.78100204,-0.33543885,8/1/23
-0.2754729,0.37436306,8/1/23
0.44517693,-0.44341996,8/1/23
0.5336732,-1.6572555,8/1/23
-2.0500515,-0.44158393,8/1/23
-1.5071647,-1.0374659,8/1/23
0.03853411,0.7891285,8/1/23
0.6397613,-0.047058336,8/1/23
0.20370272,0.09820503,8/1/23
0.11561613,2.1120837,8/1/23
-1.6942023,-0.5254372,8/1/23
-1.5207572,0.61336106,8/1/23
0.22734804,0.04833377,8/1/23
0.48009515,-1.4014941,8/1/23
0.090817936,0.81837356,8/1/23
-0.19529676,-0.36197785,8/1/23
-0.92393714,0.24951927,8/1/23
-1.630126,-0.5333248,8/1/23
-1.4564651,1.0425704,8/1/23
-1.150142,-1.3186231,8/1/23
0.38731474,-0.09835513,8/1/23
0.70993054,0.33121872,8/1/23
-0.8627337,0.06281761,8/1/23
0.10416527,0.67870843,8/1/23
-1.0371056,-0.977674,8/1/23
0.5664934,-0.94734985,8/1/23
0.1341779,0.3785089,8/1/23
-0.34944952,-2.4855852,8/1/23
2.068632,1.0194122,8/1/23
-0.96732527,-0.23412172,8/1/23
