station_id,project,date,sampling_bout,gear,sample_grp,station,location,replicate,primers,category,Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Brd_striped_anchovy,Little_tunny_or_skipjack_tuna,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Str_sea_robin,Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Atl_chub_mackerel,Frigate_or_bullet_tuna,Giant_trevally99,Hogchoker_trinectes,Nor_kingfish,Red_White_or_Spotted_hake,Spanish_mackerel,Tautog,Thread_herring,Atl_menhaden_LS16_or_river_herrings,Atl_menhaden_LS17,Cobia,Cunner,Am_conger,Atl_or_nor_sand_lance,Bluefish,Silver_anchovy,Seaboard_goby,Nor_puffer,Silver_perch(nibea93),Sturgeon,Crested_blenny_refseq_not_full_length,Str_burrfish,Dwarf_goatfish,Fourspot_flounder,Nor_sennet95,Tuna_sp,Atl_moonfish,Atl_silverside,Gulf_stream_flounder,Str_cusk_eel,Nor_stargazer,Grey_triggerfish,Nor_pipefish,Planehead_filefish,Rough_scad,Str_killifish,Mummichog,Rough_silverside94,Sheepshead_minnow,Str_bass,White_mullet,Am_eel,Red_eye_round_herring,Inshore_lizardfish,Atl_mackerel,Flathead_grey_mullet,Silver_hake,Winter_or_Yellowtail_flounder,Atl_herring,Atl_cod,Am_gizzard_shad,Fourspine_stickleback,Catfish_sp,White_perch,Whitefish_Cor,Pac_sand_lance,White_catfish,Atl_salmon,PCA1,PCA2,tSNE1,tSNE2
NJOT_Aug_23_71,NJOT,8/1/23,Aug_23,edna,Trawl,71,B,1,bony,1,0.033181027,0.015158109,0.034885408,0.033978822,0.006599942,0.0,0.076044386,0.015665796,0.00435161,0.004677981,0.00308239,0.006418625,0.0,0.008123006,0.005910937,0.101138671,0.0,0.0,0.0,0.0,0.004025239,0.005185669,0.0,0.006708732,0.027814041,0.259102118,0.328038874,0.0,0.0,0.000398898,0.000870322,0.009210908,0.0,0.001341746,0.0,0.0,0.0,0.0,0.0,0.0,0.001015376,0.0,0.0,0.001124166,0.000834059,0.005113142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3348921070823618,0.37448180629914807,7.860015,-23.507004
NJOT_Aug_23_72,NJOT,8/1/23,Aug_23,edna,Trawl,72,B,1,bony,1,0.164526271,0.044228925,0.112277523,0.069407439,0.016439305,0.0,0.233267612,0.064478312,0.023713098,0.015480124,0.001412128,0.065250986,0.006314612,0.015053821,0.035036769,0.044388788,0.0,0.0,0.0,0.0,0.007913247,0.006474475,0.0,0.012655867,0.0,0.03064052,0.0,0.0,0.0,0.0,0.0,0.004822551,0.0,0.018757327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003783438,0.0,0.0,0.0,0.0,0.003676862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008378504987242756,-0.059125724758156424,3.3422132,-3.852206
NJOT_Aug_23_73,NJOT,8/1/23,Aug_23,edna,Trawl,73,B,1,bony,1,0.091318313,0.073493485,0.065395404,0.026511039,0.0,0.0,0.163183134,0.035559175,0.095141151,0.00529316,0.006220594,0.046281216,0.009568404,0.004456207,0.116788817,0.024158523,0.0,0.0,0.0,0.004230004,0.016015201,0.036056822,0.0,0.009048136,0.019340391,0.04985523,0.080279587,0.0,0.0,0.0,0.0,0.003144227,0.0,0.0,0.008165943,0.0,0.0,0.0,0.0,0.0,0.00201321,0.001108397,0.0,0.0,0.0,0.0,0.0,0.007374231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11812657491063354,0.036082702381070274,4.7375503,-8.071411
NJOT_Aug_23_74,NJOT,8/1/23,Aug_23,edna,Trawl,74,B,1,bony,1,0.233305699,0.060987351,0.077327307,0.122830476,0.005081165,0.0,0.124782713,0.059008371,0.0164603,0.0,0.001631321,0.018666595,0.002513839,0.021621694,0.072152542,0.061147808,0.0,0.0,0.0,0.0,0.004880593,0.010804161,0.0,0.0,0.028481267,0.041545209,0.023975076,0.0,0.0,0.0,0.0,0.005535795,0.003971332,0.000909261,0.0,0.00036103,0.0,0.0,0.0,0.000280801,0.0,0.0,0.0,0.0,0.0,0.0,0.000641831,0.0,0.001096462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15867536150519843,-0.04996402779285971,7.428503,-5.149486
NJOT_Aug_23_75,NJOT,8/1/23,Aug_23,edna,Trawl,75,B,1,bony,1,0.105248075,0.212412681,0.109994627,0.031900412,0.004549525,0.0,0.120042988,0.083396024,0.00437041,0.003241985,0.004083826,0.033512449,0.0,0.036199176,0.014651621,0.042718968,0.0,0.0,0.0,0.0,0.0,0.00814974,0.0,0.004567437,0.020795271,0.063962028,0.054648039,0.0,0.001003045,0.003671861,0.0,0.006412323,0.0,0.015923339,0.002095648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000394053,0.0,0.0,0.004298764,0.001343364,0.004442056,0.001970267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18211457475422999,-0.01840823223089846,10.049685,-7.974524
NJOT_Aug_23_76,NJOT,8/1/23,Aug_23,edna,Trawl,76,B,1,bony,1,0.137096354,0.114122608,0.088650206,0.025229477,0.0,0.0,0.263851052,0.058163141,0.001249328,0.08604744,0.002863042,0.020874182,0.0,0.024136316,0.011191893,0.072877444,0.0,0.0,0.002967153,0.0,0.005240235,0.01008138,0.0,0.001631067,0.018323472,0.007565373,0.037913623,0.0,0.0,0.0,0.0,0.000711423,0.0,0.004754386,0.0,0.0,0.0,0.0,0.0,0.002221027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002238379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017054722856445367,-0.07291282951291621,3.4693053,-1.5827129
NJOT_Aug_23_77,NJOT,8/1/23,Aug_23,edna,Trawl,77,B,1,bony,1,0.221555709,0.172250848,0.095217343,0.026831415,0.014868364,0.0,0.047886385,0.034709939,0.05476514,0.022430721,0.001640647,0.042221026,0.001888453,0.039871141,0.041862134,0.068035582,0.0,0.0,0.0,0.0,0.009630256,0.00342656,0.0,0.0,0.001597922,0.036094235,0.044767447,0.0,0.0,0.0,0.0,0.008083605,0.003400925,0.0,0.004742495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000905774,0.0,0.001315936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2782556226127534,-0.06901707048838811,9.755101,-6.2977
NJOT_Aug_23_79,NJOT,8/1/23,Aug_23,edna,Trawl,79,B,1,bony,1,0.035776523,0.057412501,0.140691595,0.007747381,0.12650906,0.0,0.023578072,0.010056898,0.004167629,0.159199227,0.003968171,0.054137185,0.01459195,0.116147725,0.036395893,0.083468055,0.0,0.0,0.006414159,0.004839489,0.000451406,0.004671524,0.0,0.003317307,0.003989166,0.01603015,0.011127674,0.0,0.0,0.0,0.000398917,0.013006782,0.0,0.001669151,0.002309517,0.013479183,0.0,0.000934305,0.0,0.0,0.0,0.004986458,0.0,0.005332885,0.011264146,0.0,0.004335594,0.0,0.000629868,0.003653236,0.0,0.0,0.0,0.002949883,0.008009826,0.00153268,0.000377921,0.000440908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31172704507758486,-0.14846709181901038,-11.465699,-8.462107
NJOT_Aug_23_80,NJOT,8/1/23,Aug_23,edna,Trawl,80,B,1,bony,1,0.028098658,0.085957361,0.109361759,0.009778779,0.045939075,0.0,0.020460729,0.006088042,0.005485928,0.139010303,0.000546363,0.030975425,0.023237144,0.123957451,0.073837028,0.192275099,0.0,0.0,0.001137327,0.007359172,0.001639088,0.000524062,0.0,0.000323358,0.0,0.035290576,0.04744436,0.0,0.0,0.0,0.0,0.005385576,0.0,0.0,0.002620311,0.000602114,0.0,0.0,0.0,0.0,0.0,0.000735917,0.0,0.001092726,0.0,0.0,0.000602114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000234155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.355019186469469,-0.1407446758171554,-12.742493,-9.509366
NJOT_Aug_23_83,NJOT,8/1/23,Aug_23,edna,Trawl,83,B,1,bony,1,0.058151129,0.065593535,0.146958193,0.035237381,0.137241357,0.0,0.042334387,0.195183942,0.012382287,0.030251882,0.000430122,0.025892013,0.006354068,0.102981524,0.088872234,0.006816775,0.0,0.0,0.0,0.001596663,0.007924664,0.001101372,0.0,0.0,0.021167193,0.0,0.0,0.0,0.0,0.0,0.0,0.008837043,0.001524976,0.001368569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000984066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000443156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000371469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2580918417187302,-0.14739592719232275,-7.719465,-5.733089
NJOT_Aug_23_85,NJOT,8/1/23,Aug_23,edna,Trawl,85,B,1,bony,1,0.031881992,0.03139943,0.068101557,0.089668787,0.10488594,0.0,0.154776267,0.079364992,0.023656504,0.035128318,0.0,0.051272209,0.004079842,0.067037728,0.113007238,0.045832419,0.0,0.0,0.0,0.007090371,0.004354025,0.001864444,0.001403817,0.002292169,0.004441764,0.0022483,0.001266725,0.0,0.0,0.0,0.0,0.004628208,0.054458215,0.001601228,0.006547488,0.000361921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002884404,0.0,0.0,0.0,0.0,0.002813117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001650581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10793688301064897,-0.11324351144038922,-5.2020392,-4.674976
