tSNE1,tSNE2,date
-2.032689,5.0499334,8/1/23
0.1985033,4.469351,8/1/23
-0.39920548,4.6696763,8/1/23
-0.40530056,4.4348416,8/1/23
-0.7166894,4.34512,8/1/23
0.37787774,4.3504386,8/1/23
-0.9722963,4.161758,8/1/23
-1.2386923,3.5765047,8/1/23
-1.4125156,3.520691,8/1/23
-0.7110267,3.6195173,8/1/23
-0.13891177,3.8660183,8/1/23
-1.7882189,4.9584603,8/1/23
-0.30530974,3.8575613,8/1/23
0.5683506,4.2455053,8/1/23
2.5186872,4.212735,8/1/23
0.75698674,4.271298,8/1/23
-1.3488064,4.8819537,8/1/23
-1.6891791,4.568852,8/1/23
-0.9515776,3.3591025,8/1/23
1.0207207,4.161771,8/1/23
1.9497613,4.2219405,8/1/23
2.5906146,4.2460995,8/1/23
2.4355733,4.251713,8/1/23
2.0721412,4.371284,8/1/23
2.4139,4.322299,8/1/23
2.104627,4.4729047,8/1/23
-0.384308,5.5629325,8/1/23
-0.05220135,4.7183723,8/1/23
-0.83033043,4.8525853,8/1/23
-1.0003097,4.9890733,8/1/23
