tSNE1,tSNE2,date
-10.347091,0.87359357,2/1/24
-10.449714,-0.06500905,2/1/24
-12.088466,2.418282,2/1/24
-11.031117,-3.5869255,2/1/24
6.996538,0.6521601,2/1/24
-11.0041895,-3.5299766,2/1/24
-9.976995,1.8461266,2/1/24
-11.506897,0.7111127,2/1/24
-11.795889,3.488522,2/1/24
-13.001931,3.283174,2/1/24
-12.047081,1.1461526,2/1/24
-12.470543,3.6859698,2/1/24
-8.51439,-0.9713633,2/1/24
-9.241066,-0.07170855,2/1/24
-11.544049,0.005204346,2/1/24
-10.053758,-1.7166828,2/1/24
-13.226095,2.2848485,2/1/24
-11.368841,2.0543637,2/1/24
-11.922467,-1.4818746,2/1/24
-12.386687,-0.1681741,2/1/24
-14.15998,-2.312289,2/1/24
-14.638598,-1.9422635,2/1/24
-13.562594,-2.4387462,2/1/24
-14.779236,1.8806989,2/1/24
-13.313439,-0.8765004,2/1/24
-13.959017,-0.1256026,2/1/24
-13.285867,0.23866788,2/1/24
-12.608897,-0.8046374,2/1/24
-11.019588,2.8569021,2/1/24
-6.7811117,1.1275805,6/1/23
-4.074534,1.3349206,6/1/23
2.27109,8.486293,6/1/23
-2.3115258,8.090779,6/1/23
1.0513325,1.8779545,6/1/23
0.14825973,0.6699138,6/1/23
0.28873628,1.0740279,6/1/23
2.112114,-3.320726,6/1/23
2.3567789,-2.7390501,6/1/23
-0.11404992,-1.5704988,6/1/23
-0.4950562,-0.24678393,6/1/23
-1.5656556,-0.29206,6/1/23
6.771287,0.8181958,6/1/23
6.0891776,0.85436875,6/1/23
5.8495526,0.92003024,6/1/23
2.3337228,-2.1412609,6/1/23
2.7766564,-1.3262506,6/1/23
3.30571,3.9241004,6/1/23
2.3323314,5.058017,6/1/23
-1.7558247,7.5369287,6/1/23
3.4533432,1.4077256,6/1/23
3.48302,2.9468904,6/1/23
2.983285,8.166111,6/1/23
-1.0233768,6.921916,6/1/23
1.5772505,2.2023792,6/1/23
2.7012122,2.8907819,6/1/23
-9.287455,2.6589303,6/1/23
2.1329634,4.000116,6/1/23
4.245676,1.8631419,6/1/23
-2.9744027,0.9872202,6/1/23
-9.968849,3.172768,8/1/23
0.12270144,5.5558624,8/1/23
-1.5322785,4.59424,8/1/23
-1.2841142,3.8631852,8/1/23
-1.9099457,2.963243,8/1/23
0.9639909,5.8135524,8/1/23
-1.6662827,2.8165004,8/1/23
1.4855868,0.34848198,8/1/23
2.1040533,0.35048404,8/1/23
-0.77016115,0.8615298,8/1/23
0.38909107,4.0754657,8/1/23
-8.244481,2.1878788,8/1/23
-0.014756952,3.720646,8/1/23
1.2757238,6.439973,8/1/23
4.471148,10.125987,8/1/23
1.3994793,7.041326,8/1/23
-6.342753,2.7531846,8/1/23
-6.069842,2.0383322,8/1/23
2.3296068,1.4804053,8/1/23
2.3454905,7.222702,8/1/23
3.4877837,9.086184,8/1/23
4.100829,10.915345,8/1/23
3.8946705,10.051094,8/1/23
3.0018,9.67974,8/1/23
3.364823,10.640846,8/1/23
2.5873559,10.129788,8/1/23
-2.7892568,5.242001,8/1/23
-0.89372754,5.207584,8/1/23
-3.5159097,3.7205408,8/1/23
-4.0390053,3.6364942,8/1/23
