station_id,project,date,sampling_bout,gear,sample_grp,station,location,replicate,primers,category,Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Brd_striped_anchovy,Little_tunny_or_skipjack_tuna,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Str_sea_robin,Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Atl_chub_mackerel,Frigate_or_bullet_tuna,Giant_trevally99,Hogchoker_trinectes,Nor_kingfish,Red_White_or_Spotted_hake,Spanish_mackerel,Tautog,Thread_herring,Atl_menhaden_LS16_or_river_herrings,Atl_menhaden_LS17,Cobia,Cunner,Am_conger,Atl_or_nor_sand_lance,Bluefish,Silver_anchovy,Seaboard_goby,Nor_puffer,Silver_perch(nibea93),Sturgeon,Crested_blenny_refseq_not_full_length,Str_burrfish,Dwarf_goatfish,Fourspot_flounder,Nor_sennet95,Tuna_sp,Atl_moonfish,Atl_silverside,Gulf_stream_flounder,Str_cusk_eel,Nor_stargazer,Grey_triggerfish,Nor_pipefish,Planehead_filefish,Rough_scad,Str_killifish,Mummichog,Rough_silverside94,Sheepshead_minnow,Str_bass,White_mullet,Am_eel,Red_eye_round_herring,Inshore_lizardfish,Atl_mackerel,Flathead_grey_mullet,Silver_hake,Winter_or_Yellowtail_flounder,Atl_herring,Atl_cod,Am_gizzard_shad,Fourspine_stickleback,Catfish_sp,White_perch,Whitefish_Cor,Pac_sand_lance,White_catfish,Atl_salmon,PCA1,PCA2,tSNE1,tSNE2
NJOT_Feb_24_2,NJOT,2/1/24,Feb_24,edna,Trawl,2,B,1,bony,1,0.0,0.111118989,0.02299421,0.010539998,0.0,0.0,0.017866005,0.006924259,0.0,0.021198157,0.0,0.029871204,0.013966678,0.0,0.097908543,0.009334751,0.0,0.0,0.0,0.0,0.0,0.008271299,0.0,0.0,0.005246367,0.236440978,0.173106463,0.0,0.0,0.0,0.001630627,0.0,0.0,0.0,0.0,0.00538816,0.011248966,0.0,0.0,0.0,0.0,0.007609595,0.0,0.0,0.03055654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004986411,0.0,0.0,0.0,0.018669503,0.0,0.0,0.0,0.0,0.01139076,0.055701288,0.0,0.0,0.088030249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010393648035774906,0.021394859820262953,-7.9102535,-4.198647
NJOT_Feb_24_3,NJOT,2/1/24,Feb_24,edna,Trawl,3,B,1,bony,1,0.0,0.240066505,0.008431234,0.0,0.0,0.0,0.005232597,0.002278712,0.006085004,0.003434947,0.0,0.007595706,0.002025522,0.0,0.246176828,0.002396867,0.0,0.0,0.0,0.0,0.003215515,0.0,0.0,0.003426507,0.0,0.202265208,0.153796165,0.0,0.0,0.0,0.0,0.0,0.001451624,0.0,0.0,0.001898926,0.0,0.0,0.0,0.0,6.75e-05,0.0,0.0,0.0,0.0831561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004312673,0.0,0.0,0.0,0.0,0.007393154,0.003308352,0.004312673,0.0,0.007671663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018404751016882264,-0.040911163648428395,1.7051921,-10.218269
NJOT_Feb_24_4,NJOT,2/1/24,Feb_24,edna,Trawl,4,B,1,bony,1,0.0,0.022219604,0.014665822,0.032291314,0.0,0.0,0.016683109,0.0,0.010218957,0.0,0.0,0.02326506,0.0145333,0.010778496,0.124070502,0.027211285,0.0,0.0,0.0,0.0,0.0,0.025694639,0.0,0.0,0.0,0.327330555,0.285792116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054967385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010277855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11963142656956345,0.13004376568123852,-10.812785,-16.303072
NJOT_Feb_24_5,NJOT,2/1/24,Feb_24,edna,Trawl,5,B,1,bony,1,0.0,0.010920386,0.000726296,6.48e-05,0.0,0.0,0.00060957,0.000181574,0.03132802,0.0,0.0,0.189517986,0.0,0.000246422,0.153365282,0.003670391,0.0,0.0,0.0,0.0,0.000590116,0.002833853,0.0,0.0,0.0,0.138541052,0.044531052,0.0,0.0,0.0,0.001348836,0.0,0.0,0.0,0.0,0.0,0.000233452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351994397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000732781,0.0,0.0,0.0,0.0,0.058084263,0.001913013,0.003903844,0.004545838,0.000116726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0745761218514936,-0.22768298636661505,-1.9507742,20.27916
NJOT_Feb_24_6,NJOT,2/1/24,Feb_24,edna,Trawl,6,B,1,bony,1,0.0,0.0,0.0,0.0,0.0,0.0,0.028368794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822695035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1284006774234174,0.2500416300705456,3.3661637,13.219537
NJOT_Feb_24_7,NJOT,2/1/24,Feb_24,edna,Trawl,7,B,1,bony,1,0.0,0.075303913,0.0,0.0,0.0,0.0,0.0,0.01641965,0.017985012,0.0,0.0,0.071174022,0.0,0.0,0.135154038,0.033638634,0.0,0.0,0.0,0.0,0.0,0.028043297,0.0,0.0,0.0,0.111407161,0.053022481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038334721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283197336,0.0,0.0,0.0,0.0,0.015886761,0.0,0.0,0.0,0.029641965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032439634,0.0,0.058351374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13790633318428036,-0.17231729928794573,-0.51346743,18.542631
NJOT_Feb_24_8,NJOT,2/1/24,Feb_24,edna,Trawl,8,B,1,bony,1,0.0,0.15880162,0.0,0.0,0.0,0.0,0.044080619,0.014341575,0.0,0.0,0.0,0.0,0.0,0.076465196,0.065221679,0.0,0.0,0.0,0.0,0.0,0.0,0.038139772,0.0,0.0,0.000858638,0.206896952,0.302959981,0.0,0.0,0.0,0.0,0.034554378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035993177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005673973,0.0,0.0,0.0,0.0,0.016012439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04481369283330004,0.08565515581077034,-10.774738,-5.9822373
NJOT_Feb_24_9,NJOT,2/1/24,Feb_24,edna,Trawl,9,B,1,bony,1,0.0,0.071610571,0.017222289,0.0,0.001427409,0.0,0.0,0.002067742,0.004802497,0.0,0.0,0.036285535,0.003295047,0.004028762,0.1431411,0.0,0.0,0.0,0.0,0.0,0.0,0.038273235,0.0,0.0,0.0,0.2389109,0.189912088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139432505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002041061,0.0,0.0,0.007590614,0.0,0.0,0.0,0.0,0.099958645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05401452837146046,-0.03284753880346882,-2.9741786,-7.259934
NJOT_Feb_24_10,NJOT,2/1/24,Feb_24,edna,Trawl,10,B,1,bony,1,0.0,0.013282253,0.025096262,0.0,0.0,0.0,0.008264945,0.0,0.015333904,0.004268601,0.0,0.052506709,0.0,0.0,0.080247754,0.0,0.0,0.0,0.0,0.0,0.003179573,0.011026409,0.0,0.0,0.0,0.314349889,0.380897281,0.0,0.0,0.0,0.003840769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029452374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006835596,0.0,0.0,0.0,0.0,0.03280697,0.006359146,0.01209599,0.000155575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17678994797050138,0.16783422027665235,-9.178347,-18.923222
NJOT_Feb_24_11,NJOT,2/1/24,Feb_24,edna,Trawl,11,B,1,bony,1,0.0,0.008920583,0.006157571,0.0,0.0,0.0,0.018742435,0.0,0.036050734,0.0,0.0,0.006414136,0.01128888,0.0,0.080285248,0.000480238,0.0,0.0,0.0,0.0,0.0,0.00667728,0.0,0.009045577,0.0,0.411109942,0.333673228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004322141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009565286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040754434,0.0,0.016512289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22859515050383733,0.19375189115378394,-13.231639,-20.28311
