tSNE1,tSNE2,date
14.296594,0.5045998,2/1/24
14.784911,0.6765267,2/1/24
14.017278,-0.42246863,2/1/24
13.844262,2.212452,2/1/24
12.928527,2.6415567,2/1/24
13.781954,2.1046276,2/1/24
14.791371,0.0014301355,2/1/24
13.973993,0.4677544,2/1/24
14.264357,-0.8861051,2/1/24
13.841383,-1.0396516,2/1/24
13.881922,0.16275477,2/1/24
14.066516,-1.0354403,2/1/24
15.020699,1.7224847,2/1/24
14.448088,1.0037947,2/1/24
13.852058,0.48494282,2/1/24
14.609396,1.7535425,2/1/24
13.526538,-0.68589616,2/1/24
14.394245,-0.27333963,2/1/24
13.546233,1.1715868,2/1/24
13.49219,0.66016614,2/1/24
12.317466,1.2514455,2/1/24
12.144128,1.0719695,2/1/24
12.685294,1.4602095,2/1/24
12.563641,-0.9623525,2/1/24
13.099236,0.8910546,2/1/24
12.838902,0.34319273,2/1/24
13.116558,0.43270218,2/1/24
13.2893505,0.7555815,2/1/24
14.295797,-0.3664179,2/1/24
