,Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Brd_striped_anchovy,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Str_sea_robin,Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Giant_trevally99,Hogchoker_trinectes,Nor_kingfish,Red_White_or_Spotted_hake,Spanish_mackerel,Tautog,Thread_herring,Atl_menhaden_LS16_or_river_herrings,Atl_or_nor_sand_lance,Bluefish,Silver_anchovy,Seaboard_goby,Nor_puffer,Silver_perch(nibea93),Nor_sennet95,Str_cusk_eel,Longitude,Latitude,station,Surface_Temp,Bottom_Temp,Surface_Salinity,Bottom_Salinity,temp_strat,salt_strat
0,0.020177178,0.009887821,0.019700354,0.085627525,0.00720255,0.752151981,0.017692674,0.000451728,0.004567471,0.014204332,0.011368484,0.00707707,0.023163601,0.01959997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.86088333,39.76948333,100.0,23.45271662533815,14.988620105512256,31.56278383119035,32.429375470642455,8.464096519825896,0.8665916394521034
1,0.044936571,0.020750904,0.012989477,0.029527578,0.013369009,0.667795774,0.041293065,0.008776674,0.004535406,0.0,0.026766484,0.003178579,0.015342575,0.058514323,0.002343609,0.003415787,0.006395112,0.00423178,0.012135531,0.009611644,0.003643506,0.00200203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.00596667,39.75366667,101.0,22.5004390843974,16.974111503488295,31.79706453175979,32.24893830269356,5.526327580909104,0.45187377093376924
2,0.063511589,0.015948034,0.066176788,0.039837714,0.022918555,0.576923907,0.013185722,0.0,0.0,0.0,0.027806552,0.0,0.007078424,0.042427381,0.003409729,0.0,0.0,0.003614744,0.010186024,0.002190427,0.005103802,0.021332384,0.070665544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.02751667,39.96306667,102.0,23.541772830847393,18.550106743630394,29.348635230721488,32.03648998101798,4.9916660872169984,2.6878547502964913
3,0.027996782,0.01232502,0.03848753,0.068897828,0.0,0.675720032,0.014191472,0.008946098,0.0,0.0,0.051681416,0.004183427,0.0,0.028865648,0.003636364,0.00769107,0.0,0.0,0.0,0.016765889,0.003218021,0.00302494,0.014770716,0.006918745,0.005921158,0.002316975,0.0,0.0,0.0,0.0,0.0,-73.8786,40.11971667,103.0,23.07818099429938,13.831903949323483,27.754786300457425,32.35774273983327,9.246277044975898,4.602956439375845
4,0.010589079,0.000259779,0.03829882,0.136185952,0.002449343,0.612125486,0.005665652,0.008869591,0.0,0.009463371,0.021784309,0.0,0.003686385,0.047193152,0.005789356,0.0,0.003624533,0.0,0.005640911,0.0,0.0,0.004787352,0.077884163,0.0,0.0,0.0,0.00293179,0.0,0.0,0.0,0.0,-73.91333333,40.18291667,104.0,23.109863854687628,13.227531097738682,27.15989969028895,32.24565882195313,9.882332756948946,5.0857591316641795
5,0.153284853,0.000522987,0.136673806,0.017557404,0.003785426,0.093963242,0.059520845,0.010509538,0.0,0.001743288,0.02055835,0.004744235,0.001021069,0.074052398,0.010248045,0.000684863,0.0,0.001133137,0.360947851,0.0,0.000697315,0.0,0.018889774,0.000373562,0.017445335,0.0,0.006973153,0.002677193,0.000323754,0.0,0.0,-73.98588333,40.45955,106.0,22.5930746029411,19.955991155879946,27.852780429032844,31.3733285807883,2.637083447061155,3.520548151755456
6,0.138364163,0.0,0.179569207,0.046317649,0.008409793,0.201157941,0.053127913,0.023011628,0.0,0.014013051,0.079299347,0.0,0.002943918,0.075648889,0.017123792,0.0,0.0,0.0,0.046945685,0.0,0.042068593,0.0,0.017849958,0.0,0.006133163,0.0,0.005240175,0.0,0.0,0.0,0.0,-73.92183333,40.3811,107.0,23.175618119243545,14.92732358227207,25.988238377343535,32.42964324178548,8.248294536971475,6.441404864441942
7,0.111077879,0.005176579,0.246554699,0.049718164,0.008374554,0.124836075,0.106142874,0.006073853,0.000368112,0.013723686,0.077407109,0.015483723,0.004049235,0.046796273,0.042390429,0.0,0.000954791,0.006315426,0.019210859,0.000782239,0.004371333,0.0,0.091844012,0.0,0.015437709,0.0,0.0,0.000931784,0.0,0.0,0.0,-73.96776667,40.264,108.0,23.419756562191623,14.115695984003466,26.853985849989147,32.15142109150368,9.304060578188157,5.297435241514531
9,0.164526271,0.044228925,0.112277523,0.069407439,0.016439305,0.233267612,0.064478312,0.023713098,0.015480124,0.001412128,0.065250986,0.006314612,0.015053821,0.035036769,0.044388788,0.0,0.0,0.007913247,0.006474475,0.0,0.012655867,0.0,0.03064052,0.0,0.004822551,0.0,0.018757327,0.0,0.0,0.003783438,0.003676862,-74.02881667,40.0942,71.0,23.28929767068904,17.42439161073302,27.416267638299942,31.69937244398318,5.86490605995602,4.283104805683237
10,0.09928921,0.079908507,0.071103569,0.028825106,0.0,0.177426892,0.038663027,0.103445732,0.005755183,0.00676357,0.050320962,0.010403601,0.004845176,0.126982956,0.026267247,0.0,0.004599228,0.017413119,0.039204112,0.0,0.00983792,0.021028555,0.054206941,0.0,0.003418677,0.0,0.0,0.008878723,0.0,0.001205145,0.0,-74.04638333,39.85845,72.0,23.388540329265158,19.455860161436274,30.89297154694894,32.00078520956352,3.9326801678288845,1.1078136626145785
