,Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Brd_striped_anchovy,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Str_sea_robin,Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Hogchoker_trinectes,Nor_kingfish,Red_White_or_Spotted_hake,Tautog,Atl_menhaden_LS16_or_river_herrings,Atl_or_nor_sand_lance,Bluefish,Silver_perch(nibea93),Sturgeon,Fourspot_flounder,Atl_silverside,Gulf_stream_flounder,Rough_scad,Silver_hake,Winter_or_Yellowtail_flounder,White_perch,Longitude,Latitude,station,Surface_Temp,Bottom_Temp,Surface_Salinity,Bottom_Salinity,temp_strat,salt_strat
0,0.099418475,0.084656676,0.044397227,0.0,0.051107135,0.0,0.012972489,0.189331246,0.038358309,0.0,0.037128159,0.0,0.083091031,0.069223887,0.017557593,0.0,0.033549541,0.013978976,0.0,0.16730038,0.0,0.0,0.0,0.030418251,0.0,0.016774771,0.0,0.0,0.010735853,0.0,0.0,-74.05301667,39.93158333,32.0,17.140701533733285,12.457034098924488,28.7209839609375,30.790281905883052,4.683667434808797,2.0692979449455535
1,0.001721001,0.115872548,0.136426218,0.012464965,0.005384275,0.044770615,0.015193981,0.007424891,0.030682992,0.001696415,0.030879677,0.0,0.03333825,0.035477209,0.126124797,0.0,0.030781335,0.069749717,0.0,0.191104883,0.001327629,0.033977479,0.014702267,0.056129223,0.0,0.0,0.0,0.003663274,0.0,0.0,0.0,-73.96988333,39.91065,33.0,16.64177144150037,11.719691203666631,28.82198066303829,31.087594908575458,4.92208023783374,2.2656142455371686
2,0.0002088,0.064978633,0.069530478,0.015312017,0.001809602,0.420161751,0.005122566,0.004203845,0.013070895,0.007530728,0.016815379,0.0,0.015896658,0.049346455,0.058700706,0.000737761,0.014964017,0.04450229,0.00018096,0.037570122,0.02690739,0.006723368,0.003591364,0.089923301,0.014254096,0.0002784,0.003034563,0.0,0.001948802,0.011678893,0.00029232,-73.9701,39.78606667,35.0,16.01417654019567,10.484886373837716,29.67253794150383,31.638679441426934,5.529290166357955,1.9661414999231042
3,0.016348774,0.023614896,0.0,0.025431426,0.0,0.124432334,0.0,0.0,0.0,0.0,0.025431426,0.0,0.009990917,0.007266122,0.018165304,0.0,0.0,0.010899183,0.0,0.0626703,0.670299728,0.0,0.0,0.0,0.005449591,0.0,0.0,0.0,0.0,0.0,0.0,-74.03196667,39.57853333,36.0,16.19029887338302,10.910505219324019,30.539148273195515,31.62550382400462,5.279793654059002,1.086355550809106
4,0.000262722,0.002589685,0.000300253,0.022218747,0.154467832,0.033553311,0.046564289,0.016682826,0.000544209,0.001451224,0.083639321,0.0,0.000193914,0.057836299,0.151746786,0.0,0.118806493,0.031820599,0.000237701,0.044237325,0.0,0.000350296,0.0,0.001382416,0.000869484,0.000237701,0.0,0.228786789,0.000444125,0.000625528,0.0,-73.50548333,39.23288333,39.0,14.863023282060906,7.798937218119251,32.58477665818473,32.77198189158169,7.064086063941655,0.18720523339695916
5,0.106499111,0.033637979,0.005077431,0.027164255,0.098629094,0.014216806,0.086062452,0.01320132,0.026275704,0.003808073,0.016247779,0.0,0.114876872,0.160700685,0.098629094,0.0,0.034272658,0.061183041,0.001396293,0.057755776,0.0,0.001142422,0.0,0.0,0.0,0.0,0.0,0.022721503,0.014724549,0.0,0.0,-74.55783333,39.15945,40.0,17.011382373714348,16.965722503464477,30.619193959874707,30.630974650843005,0.04565987024987095,0.011780690968297591
6,0.093850111,0.0,0.005955872,0.009306051,0.171231331,0.023056445,0.158811984,0.020811713,0.113601498,0.005628751,0.066699003,0.0,0.065672517,0.050895637,0.072124712,0.0,0.061780896,0.050173713,0.0,0.0072982,0.0,0.00182737,0.001071606,0.001003925,0.0,0.0,0.0,0.019198664,0.0,0.0,0.0,-74.61648333,39.21486667,41.0,17.301592080177123,17.212063589177514,30.474655062956302,30.4892393302415,0.08952849099960858,0.014584267285197683
7,0.002029444,0.380744359,0.305001376,0.000894331,0.010044029,0.002786186,0.005090809,0.000859934,0.041173638,0.0,0.00612273,0.0,0.069723445,0.067694001,0.010628784,0.005331591,0.005331591,0.017749037,0.0,0.0,0.0,0.011419923,0.054382223,0.002614199,0.0,0.0,0.0,0.000378371,0.0,0.0,0.0,-74.66496667,39.15393333,43.0,17.17877412984256,17.096158503747464,30.598344835404912,30.609894622062708,0.08261562609509454,0.01154978665779538
8,0.029526299,0.487037235,0.069081404,0.001200256,0.026218927,0.009708738,0.015576656,0.003894164,0.083804545,0.0,0.017016964,0.0,0.116238131,0.035127494,0.013682919,0.009975461,0.002293823,0.018030513,0.001520324,0.011522458,0.0,0.012082578,0.034220634,0.0,0.0,0.0,0.0,0.002240478,0.0,0.0,0.0,-74.9264,38.902,45.0,17.109679874479227,17.099155245422487,31.09605147181953,31.07263004600619,0.010524629056739343,0.02342142581333917
9,0.008571795,0.040180287,0.027567171,0.000267869,0.008583441,0.00885131,0.011017551,0.035591582,0.080139292,0.0,0.018296589,0.0,0.555920478,0.085321966,0.007640078,0.004332483,0.001723676,0.034240593,0.0,0.001525686,0.0,0.000838545,0.002061423,0.063240278,0.0,0.000314454,0.0,0.000500798,0.0,0.001304404,0.0,-74.97445,38.8446,46.0,17.639786093135257,17.501168290043516,30.610351648901094,30.892363247362052,0.13861780309174065,0.2820115984609579
10,0.025738151,0.061851028,0.026647595,0.002154411,0.078168044,0.016193403,0.196051423,0.016661369,0.053515929,0.0,0.053145087,0.0,0.246891997,0.067616727,0.014913117,0.001712934,0.016140425,0.049763368,0.003787879,0.013624002,0.007505121,0.015160345,0.003108003,0.023981069,0.0,0.0,0.0,0.002004309,0.00020308,0.001253797,0.0,-74.72501667,38.62045,48.0,16.063950277216954,15.999612414005403,31.42285413765133,31.427378965220072,0.06433786321155033,0.004524827568740619
